scenario_source,scenario,sector,region,year,emission_factor,emission_factor_unit
weo_2021,nze_2050,cement,global,2021,0.6300498345862929,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2022,0.6123386035583778,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2023,0.5946273725304627,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2024,0.5769161415025476,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2025,0.5592049104746325,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2026,0.5414936794467174,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2027,0.5237824484188023,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2028,0.5060712173908872,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2029,0.48835998636297206,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2030,0.470648755335057,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2031,0.4461696152874466,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2032,0.4216904752398362,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2033,0.39721133519222585,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2034,0.3727321951446154,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2035,0.348253055097005,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2036,0.3237739150493946,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2037,0.29929477500178425,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2038,0.2748156349541738,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2039,0.2503364949065634,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2040,0.225857354858953,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2041,0.2070394763675963,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2042,0.18822159787623954,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2043,0.1694037193848828,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2044,0.15058584089352609,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2045,0.13176796240216937,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2046,0.11295008391081263,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2047,0.09413220541945591,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2048,0.07531432692809917,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2049,0.056496448436742425,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,cement,global,2050,0.0376785699453857,tonnes of CO2 per tonne of cement
weo_2021,nze_2050,steel,global,2021,1.639635578291511,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2022,1.594744910716332,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2023,1.549854243141153,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2024,1.504963575565974,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2025,1.460072907990795,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2026,1.415182240415616,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2027,1.370291572840437,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2028,1.325400905265258,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2029,1.280510237690079,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2030,1.2356195701149,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2031,1.1626947304208513,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2032,1.0897698907268023,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2033,1.0168450510327536,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2034,0.9439202113387049,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2035,0.870995371644656,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2036,0.7980705319506072,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2037,0.7251456922565584,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2038,0.6522208525625096,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2039,0.5792960128684608,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2040,0.506371173174412,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2041,0.46827975461755467,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2042,0.43018833606069723,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2043,0.39209691750383985,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2044,0.3540054989469824,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2045,0.31591408039012503,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2046,0.27782266183326765,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2047,0.23973124327641027,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2048,0.20163982471955277,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2049,0.1635484061626954,tonnes of CO2 per tonne of steel
weo_2021,nze_2050,steel,global,2050,0.125456987605838,tonnes of CO2 per tonne of steel
