scenario_source,scenario,sector,technology,region,year,tmsr,smsp
weo_2021,aps,coal,coal,advanced economies,2021,1,0
weo_2021,aps,coal,coal,advanced economies,2022,0.9506048387096774,-0.04939516129032258
weo_2021,aps,coal,coal,advanced economies,2023,0.9012096774193549,-0.09879032258064516
weo_2021,aps,coal,coal,advanced economies,2024,0.8518145161290323,-0.14818548387096775
weo_2021,aps,coal,coal,advanced economies,2025,0.8024193548387097,-0.1975806451612903
weo_2021,aps,coal,coal,advanced economies,2026,0.7530241935483871,-0.2469758064516129
weo_2021,aps,coal,coal,advanced economies,2027,0.7036290322580645,-0.2963709677419355
weo_2021,aps,coal,coal,advanced economies,2028,0.654233870967742,-0.34576612903225806
weo_2021,aps,coal,coal,advanced economies,2029,0.6048387096774194,-0.3951612903225806
weo_2021,aps,coal,coal,advanced economies,2030,0.5554435483870968,-0.44455645161290325
weo_2021,aps,coal,coal,advanced economies,2031,0.5421370967741935,-0.4578629032258065
weo_2021,aps,coal,coal,advanced economies,2032,0.5288306451612903,-0.47116935483870964
weo_2021,aps,coal,coal,advanced economies,2033,0.5155241935483871,-0.4844758064516129
weo_2021,aps,coal,coal,advanced economies,2034,0.5022177419354839,-0.49778225806451615
weo_2021,aps,coal,coal,advanced economies,2035,0.4889112903225806,-0.5110887096774194
weo_2021,aps,coal,coal,advanced economies,2036,0.4858870967741935,-0.5141129032258065
weo_2021,aps,coal,coal,advanced economies,2037,0.4828629032258065,-0.5171370967741935
weo_2021,aps,coal,coal,advanced economies,2038,0.4798387096774194,-0.5201612903225806
weo_2021,aps,coal,coal,advanced economies,2039,0.47681451612903225,-0.5231854838709677
weo_2021,aps,coal,coal,advanced economies,2040,0.47379032258064513,-0.5262096774193549
weo_2021,aps,coal,coal,advanced economies,2041,0.46552419354838703,-0.534475806451613
weo_2021,aps,coal,coal,advanced economies,2042,0.45725806451612905,-0.542741935483871
weo_2021,aps,coal,coal,advanced economies,2043,0.44899193548387095,-0.551008064516129
weo_2021,aps,coal,coal,advanced economies,2044,0.44072580645161297,-0.559274193548387
weo_2021,aps,coal,coal,advanced economies,2045,0.43245967741935487,-0.5675403225806451
weo_2021,aps,coal,coal,advanced economies,2046,0.4282258064516129,-0.5717741935483871
weo_2021,aps,coal,coal,advanced economies,2047,0.42399193548387104,-0.576008064516129
weo_2021,aps,coal,coal,advanced economies,2048,0.41975806451612896,-0.580241935483871
