scenario_source,region,scenario,sector,technology,year,smsp,tmsr
geco_2022,global,1.5c,automotive,electric,2022,0,1
geco_2022,global,1.5c,automotive,fuelcell,2022,0,1
geco_2022,global,1.5c,automotive,hybrid,2022,0,1
geco_2022,global,1.5c,automotive,ice,2022,0,1
geco_2022,global,1.5c,automotive,electric,2023,0.03994947068417179,1.3061129441970822
geco_2022,global,1.5c,automotive,fuelcell,2023,0.0017501977389321507,1.24917009336931
geco_2022,global,1.5c,automotive,hybrid,2023,0.016192180944652114,1.2314080741740956
geco_2022,global,1.5c,automotive,ice,2023,-0.029065577258751436,0.963324092032117
geco_2022,global,1.5c,automotive,electric,2024,0.07989894136834358,1.6122258883941645
geco_2022,global,1.5c,automotive,fuelcell,2024,0.0035003954778643,1.4983401867386195
geco_2022,global,1.5c,automotive,hybrid,2024,0.032384361889304235,1.4628161483481912
geco_2022,global,1.5c,automotive,ice,2024,-0.05813115451750304,0.9266481840642339
geco_2022,global,1.5c,automotive,electric,2025,0.11984841205251534,1.9183388325912465
geco_2022,global,1.5c,automotive,fuelcell,2025,0.005250593216796449,1.7475102801079292
geco_2022,global,1.5c,automotive,hybrid,2025,0.04857654283395634,1.6942242225222865
geco_2022,global,1.5c,automotive,ice,2025,-0.08719673177625448,0.8899722760963509
geco_2022,global,1.5c,automotive,electric,2026,0.15979788273668716,2.224451776788329
geco_2022,global,1.5c,automotive,fuelcell,2026,0.007000790955728602,1.9966803734772391
geco_2022,global,1.5c,automotive,hybrid,2026,0.06476872377860846,1.9256322966963824
geco_2022,global,1.5c,automotive,ice,2026,-0.11626230903500599,0.8532963681284679
geco_2022,global,1.5c,automotive,electric,2027,0.19974735342085892,2.530564720985411
geco_2022,global,1.5c,automotive,fuelcell,2027,0.00875098869466075,2.245850466846549
geco_2022,global,1.5c,automotive,hybrid,2027,0.08096090472326059,2.1570403708704777
geco_2022,global,1.5c,automotive,ice,2027,-0.1453278862937575,0.8166204601605848
geco_2022,global,1.5c,automotive,electric,2028,0.37434314296335686,3.8684055050047053
geco_2022,global,1.5c,automotive,fuelcell,2028,0.024883650235212783,4.542606252171362
geco_2022,global,1.5c,automotive,hybrid,2028,0.12896590066435987,2.8430964185046297
geco_2022,global,1.5c,automotive,ice,2028,-0.3580102246695182,0.5482508420648382
geco_2022,global,1.5c,automotive,electric,2029,0.5489389325058549,5.206246289024
geco_2022,global,1.5c,automotive,fuelcell,2029,0.04101631177576483,6.839362037496176
geco_2022,global,1.5c,automotive,hybrid,2029,0.1769708966054591,3.529152466138781
geco_2022,global,1.5c,automotive,ice,2029,-0.5706925630452789,0.27988122396909154
geco_2022,global,1.5c,automotive,electric,2030,0.7235347220483529,6.544087073043294
geco_2022,global,1.5c,automotive,fuelcell,2030,0.057148973316316874,9.136117822820992
geco_2022,global,1.5c,automotive,hybrid,2030,0.22497589254655836,4.215208513772932
geco_2022,global,1.5c,automotive,ice,2030,-0.7833749014210396,0.011511605873344877
geco_2022,global,1.5c,coal,coal,2022,0,1
geco_2022,global,1.5c,coal,coal,2023,-0.07320684017938393,0.926793159820616
geco_2022,global,1.5c,coal,coal,2024,-0.14641368035876787,0.8535863196412321
geco_2022,global,1.5c,coal,coal,2025,-0.2196205205381518,0.7803794794618482
geco_2022,global,1.5c,coal,coal,2026,-0.29282736071753573,0.7071726392824642
geco_2022,global,1.5c,coal,coal,2027,-0.3660342008969196,0.6339657991030804
geco_2022,global,1.5c,coal,coal,2028,-0.4272585863978258,0.5727414136021742
geco_2022,global,1.5c,coal,coal,2029,-0.488482971898732,0.511517028101268
geco_2022,global,1.5c,coal,coal,2030,-0.5497073573996383,0.4502926426003617
geco_2022,global,1.5c,hdv,electric,2022,0,1
geco_2022,global,1.5c,hdv,fuelcell,2022,0,1
geco_2022,global,1.5c,hdv,hybrid,2022,0,1
geco_2022,global,1.5c,hdv,ice,2022,0,1
geco_2022,global,1.5c,hdv,electric,2023,0.0025164884098710116,1.8901823816237062
geco_2022,global,1.5c,hdv,fuelcell,2023,0.002946782295185162,1.7119901770884967
geco_2022,global,1.5c,hdv,hybrid,2023,0.0030558960462346955,1.7092373418185383
geco_2022,global,1.5c,hdv,ice,2023,0.0379397506876367,1.0383723777291496
geco_2022,global,1.5c,hdv,electric,2024,0.005032976819742022,2.7803647632474124
