scenario_source,region,scenario,sector,year,emission_factor,emission_factor_unit
weo_2022,global,nze_2050,cement,2022,0.6062088524913664,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2023,0.5854327459299455,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2024,0.5646566393685248,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2025,0.543880532807104,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2026,0.5231044262456832,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2027,0.5023283196842624,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2028,0.4815522131228416,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2029,0.46077610656142076,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2030,0.44,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2031,0.419,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2032,0.398,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2033,0.377,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2034,0.356,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2035,0.335,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2036,0.314,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2037,0.29300000000000004,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2038,0.272,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2039,0.251,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2040,0.23,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2041,0.209,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2042,0.188,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2043,0.16699999999999998,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2044,0.14600000000000002,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2045,0.125,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2046,0.10399999999999998,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2047,0.08300000000000002,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2048,0.062,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2049,0.041000000000000036,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,cement,2050,0.02,tonnes of CO2 per tonne of cement
weo_2022,global,nze_2050,steel,2022,1.6316209966933521,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2023,1.605168372106683,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2024,1.578715747520014,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2025,1.552263122933345,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2026,1.525810498346676,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2027,1.499357873760007,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2028,1.4729052491733379,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2029,1.446452624586669,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2030,1.42,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2031,1.3559999999999999,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2032,1.292,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2033,1.228,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2034,1.164,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2035,1.1,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2036,1.036,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2037,0.972,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2038,0.908,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2039,0.844,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2040,0.78,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2041,0.716,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2042,0.652,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2043,0.5880000000000001,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2044,0.5240000000000001,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2045,0.4600000000000001,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2046,0.39600000000000013,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2047,0.3320000000000001,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2048,0.268,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2049,0.20400000000000018,tonnes of CO2 per tonne of steel
weo_2022,global,nze_2050,steel,2050,0.14,tonnes of CO2 per tonne of steel
