scenario_source,region,scenario,sector,technology,year,smsp,tmsr
weo_2022,global,aps,automotive,electric,2022,0,1
weo_2022,global,aps,automotive,fuelcell,2022,0,1
weo_2022,global,aps,automotive,hybrid,2022,0,1
weo_2022,global,aps,automotive,ice,2022,0,1
weo_2022,global,aps,automotive,electric,2023,0.027913956978489255,1.3309608540925268
weo_2022,global,aps,automotive,fuelcell,2023,0.0013340003335000831,2
weo_2022,global,aps,automotive,hybrid,2023,0.008404202101050522,1.2692307692307692
weo_2022,global,aps,automotive,ice,2023,-0.005336001334000314,0.9939577039274925
weo_2022,global,aps,automotive,electric,2024,0.05582791395697849,1.6619217081850532
weo_2022,global,aps,automotive,fuelcell,2024,0.0026680006670001663,3
weo_2022,global,aps,automotive,hybrid,2024,0.01680840420210105,1.5384615384615383
weo_2022,global,aps,automotive,ice,2024,-0.010672002668000629,0.9879154078549849
weo_2022,global,aps,automotive,electric,2025,0.08374187093546773,1.9928825622775799
weo_2022,global,aps,automotive,fuelcell,2025,0.00400200100050025,4
weo_2022,global,aps,automotive,hybrid,2025,0.025212606303151575,1.8076923076923077
weo_2022,global,aps,automotive,ice,2025,-0.016008004002000944,0.9818731117824774
weo_2022,global,aps,automotive,electric,2026,0.13176588294147074,2.562277580071174
weo_2022,global,aps,automotive,fuelcell,2026,0.005336001334000333,5.000000000000001
weo_2022,global,aps,automotive,hybrid,2026,0.03073536768384192,1.9846153846153847
weo_2022,global,aps,automotive,ice,2026,-0.021344005336001427,0.9758308157099697
weo_2022,global,aps,automotive,electric,2027,0.17978989494747372,3.1316725978647684
weo_2022,global,aps,automotive,fuelcell,2027,0.006670001667500417,6.000000000000001
weo_2022,global,aps,automotive,hybrid,2027,0.03625812906453226,2.1615384615384614
weo_2022,global,aps,automotive,ice,2027,-0.02668000667000174,0.9697885196374622
weo_2022,global,aps,automotive,electric,2028,0.22781390695347675,3.701067615658363
weo_2022,global,aps,automotive,fuelcell,2028,0.008004002001000501,7.000000000000001
weo_2022,global,aps,automotive,hybrid,2028,0.04178089044522261,2.338461538461538
weo_2022,global,aps,automotive,ice,2028,-0.032016008004002054,0.9637462235649547
weo_2022,global,aps,automotive,electric,2029,0.27583791895947973,4.270462633451958
weo_2022,global,aps,automotive,fuelcell,2029,0.009338002334500582,7.999999999999999
